,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
459,459,2350406,/course/storage-services-of-microsoft-azure/,Cloud Storage Services on Microsoft Azure,2019-05-03,2979,True,19.99,4.2,32,4.0
460,460,1290564,/course/getting-started-with-azure-functions/,Getting Started with Azure Functions,2017-07-13,2779,True,124.99,3.9,381,5.0
461,461,4730312,/course/azure-fundamentals-az-900-practice-tests-updated/,AZ-900: Azure Fundamentals Practice Tests - 2023 UPDATED,2022-06-12,116,True,19.99,4.4444447,9,195.0
462,462,4373282,/course/learn-networking-services-on-aws-and-microsoft-azure/,Learn Networking Services on AWS and Microsoft Azure,2021-10-29,3545,True,19.99,3.2,27,1.0
463,463,1848680,/course/devops-fundamentals-with-azure/,DevOps Fundamentals with Azure,2018-08-10,4978,True,84.99,4.4,1173,2.5
464,464,3787572,/course/az-900-practice-test-azure-fundamentls-certification-exam/,2023 Microsoft Azure Fundamentals Exam AZ 900 Practice Test,2021-01-20,10521,True,84.99,4.2,115,309.0
465,465,4293618,/course/authentication-with-azure-active-directory/,API & Web Project Authentication with Azure Active Directory,2021-09-11,8315,True,29.99,4.35,32,44.0
466,466,3303406,/course/introduction-to-data-warehousing-and-azure-synapse/,Introduction to Data Warehousing and Azure Synapse Analytics,2020-07-05,173,True,19.99,3.7,40,3.5
467,467,2326052,/course/practical-devops-with-microsoft-azure/,Practical DevOps with Microsoft Azure,2019-04-17,387,True,84.99,4.25,64,4.5
468,468,2974032,/course/az-104-microsoft-azure-administrator/,AZ 104 Microsoft Azure Administrator,2020-04-08,116,True,19.99,4.4,33,5.0
469,469,4820824,/course/learn-azure-data-factory-with-15-real-time-based-projects/,Learn Azure Data Factory with 15+ Real time based projects,2022-08-07,179,True,34.99,4.15,19,7.5
470,470,4311584,/course/aws-and-microsoft-azure-certification/,AWS And Microsoft Azure Certification,2021-09-21,17,True,84.99,4.25,4,2.5
471,471,4257024,/course/azure-az-900-certification-full-exam-preparation/,Microsoft Azure AZ-900 Certification - Full exam preparation,2021-08-22,1876,True,84.99,4.25,13,540.0
472,472,2402642,/course/cicd-azure-devops-service-2019/,Continuous Integration & Delivery with Azure DevOps Service,2019-06-07,1094,True,29.99,3.9,89,8.0
473,473,2228794,/course/develop-cloud-native-apps-microservices-on-azure-with-java/,Develop Cloud-Native Apps & Microservices on Azure with Java,2019-02-19,205,True,84.99,3.8,20,4.5
